<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP,M,20060501,000000,820.0000000,862.1300000,585.0000000,719.0000000,26479897
SBERP,M,20060601,000000,723.0000000,779.5500000,590.0000000,737.0000000,18171200
SBERP,M,20060701,000000,744.8900000,875.0000000,672.2000000,707.0800000,12143013
SBERP,M,20060801,000000,779.9700000,870.0000000,763.0000000,849.8000000,13420063
SBERP,M,20060901,000000,849.8000000,871.0000000,780.0100000,840.0000000,9003987
SBERP,M,20061001,000000,840.0000000,1027.5000000,815.0000000,992.0000000,23507217
SBERP,M,20061101,000000,992.0000000,1195.0000000,987.0000000,1140.3000000,24673982
SBERP,M,20061201,000000,1141.0000000,1533.6900000,1106.2200000,1517.6300000,47787113
SBERP,M,20070101,000000,1487.1500000,1604.0000000,1270.0000000,1460.0000000,61043620
SBERP,M,20070201,000000,1481.0000000,1589.0000000,1431.1700000,1518.9900000,30744355
SBERP,M,20070301,000000,1514.0000000,1515.0000000,1200.0000000,1431.0000000,24850640
SBERP,M,20070401,000000,1426.2100000,1679.0000000,1403.5000000,1534.6000000,45572555
SBERP,M,20070501,000000,1535.0000000,1607.9800000,1273.3700000,1380.0000000,21210701
SBERP,M,20070601,000000,1387.0000000,1566.0000000,1351.0000000,1520.0000000,28006310
SBERP,M,20070701,000000,1524.8700000,1570.3700000,73.4000000,78.2000000,128479818
SBERP,M,20070801,000000,76.0000000,77.2000000,64.9600000,70.2200000,200595497
SBERP,M,20070901,000000,70.8900000,70.9800000,65.7500000,69.4500000,119364475
SBERP,M,20071001,000000,69.1000000,74.0100000,67.8000000,73.0300000,298588649
SBERP,M,20071101,000000,73.9600000,74.1400000,67.2500000,72.7500000,163599223
SBERP,M,20071201,000000,72.9400000,76.3100000,69.3000000,69.9700000,176935997
SBERP,M,20080101,000000,69.4000000,71.5000000,49.9000000,52.7500000,194721067
SBERP,M,20080201,000000,53.7500000,55.7000000,47.1600000,49.9000000,309280382
SBERP,M,20080301,000000,49.0000000,51.8400000,46.2000000,47.4900000,209032614
SBERP,M,20080401,000000,47.4900000,50.8000000,46.4200000,47.9400000,210543485
SBERP,M,20080501,000000,48.6300000,58.2900000,48.3100000,53.9500000,319543833
SBERP,M,20080601,000000,53.8800000,54.0200000,44.8800000,45.2200000,121558119
SBERP,M,20080701,000000,44.9900000,45.3200000,38.1400000,40.6000000,226074696
SBERP,M,20080801,000000,40.0500000,41.7500000,30.0000000,33.0100000,185373338
SBERP,M,20080901,000000,32.3800000,34.7300000,13.0100000,24.8000000,266079622
SBERP,M,20081001,000000,25.2500000,25.3700000,7.5000000,12.0600000,522126853
SBERP,M,20081101,000000,12.3400000,16.7400000,9.5000000,9.9500000,589476874
SBERP,M,20081201,000000,9.9900000,10.1000000,8.6800000,9.0600000,394934383
SBERP,M,20090101,000000,9.1700000,9.2400000,6.8700000,7.4900000,212322717
SBERP,M,20090201,000000,7.4200000,9.8400000,7.1500000,7.9400000,581842569
SBERP,M,20090301,000000,7.7400000,12.3000000,7.6100000,10.0600000,1043863445
SBERP,M,20090401,000000,10.0500000,16.1000000,9.9400000,15.3500000,1437671563
SBERP,M,20090501,000000,15.7200000,25.4500000,15.7100000,24.6500000,3375165666
SBERP,M,20090601,000000,25.1800000,32.8800000,19.5500000,25.4200000,5086533444
SBERP,M,20090701,000000,25.6200000,27.5000000,20.0400000,26.5600000,3521632017
SBERP,M,20090801,000000,27.0000000,30.1100000,25.9000000,27.8400000,1855327877
SBERP,M,20090901,000000,28.1100000,39.2400000,27.9000000,37.0000000,2445893134
SBERP,M,20091001,000000,37.4300000,46.7900000,35.2300000,43.9100000,1668537610
SBERP,M,20091101,000000,43.5000000,56.5000000,42.2300000,56.5000000,1598246977
SBERP,M,20091201,000000,57.0000000,76.8000000,55.1600000,69.0000000,1469674767
SBERP,M,20100101,000000,71.6000000,74.6000000,66.3300000,72.7200000,546268526
SBERP,M,20100201,000000,71.9200000,73.5000000,60.8500000,64.5800000,502830891
SBERP,M,20100301,000000,65.0000000,72.2500000,64.6000000,66.5200000,514770358
SBERP,M,20100401,000000,66.9100000,71.3900000,55.5600000,58.7500000,794093437
SBERP,M,20100501,000000,58.7500000,63.5000000,50.3400000,55.7500000,878164725
SBERP,M,20100601,000000,55.1000000,60.9600000,52.5000000,55.7000000,720276359
SBERP,M,20100701,000000,54.5000000,59.7800000,51.6300000,56.8500000,848699531
SBERP,M,20100801,000000,57.4300000,63.0500000,52.9200000,55.8700000,1070180374
SBERP,M,20100901,000000,56.0200000,62.0000000,55.3000000,61.1100000,783802351
SBERP,M,20101001,000000,61.0000000,72.1700000,60.8000000,69.9100000,1134192775
SBERP,M,20101101,000000,70.4600000,75.4700000,66.9800000,74.3000000,718752658
SBERP,M,20101201,000000,74.6100000,78.7700000,73.9000000,75.1000000,617947777
SBERP,M,20110101,000000,75.4800000,77.4800000,69.8600000,71.3500000,594605147
SBERP,M,20110201,000000,71.9200000,72.9900000,65.7200000,70.7000000,594181587
SBERP,M,20110301,000000,71.0900000,73.9200000,64.6000000,73.0000000,682343700
